6/17/17,13:49:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:50:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:51:9,, ,, ,0.00,0.00,,4.02
6/17/17,13:52:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:53:0,, ,, ,0.00,0.00,,4.03
6/17/17,13:54:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:55:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:56:9,, ,, ,0.00,0.00,,4.02
6/17/17,13:57:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:58:0,, ,, ,0.00,0.00,,4.02
6/17/17,13:59:0,, ,, ,0.00,0.00,,4.02
6/17/17,14:0:45,, ,, ,0.00,0.00,,4.02
6/17/17,14:2:9,8023.9946289062,W,3712.9240722656,N,667.50,0.00,,4.02
6/17/17,14:3:0,, ,, ,0.00,0.00,,4.03
6/17/17,14:4:0,, ,, ,0.00,0.00,,4.02
6/17/17,14:5:0,, ,, ,0.00,0.00,,4.02
6/17/17,14:6:9,, ,, ,0.00,0.00,,4.02
6/17/17,14:7:0,, ,, ,0.00,0.00,,4.02
6/17/17,14:8:0,, ,, ,0.00,0.00,,4.02
6/17/17,14:9:0,, ,, ,0.00,0.00,,4.01
6/17/17,14:10:0,, ,, ,0.00,0.00,,4.02
6/17/17,14:11:9,, ,, ,0.00,0.00,,4.02
6/17/17,14:12:0,, ,, ,0.00,0.00,,4.02
6/17/17,14:13:0,, ,, ,0.00,0.00,,4.02
6/17/17,14:14:0,, ,, ,0.00,0.00,,4.02
6/17/17,14:15:0,, ,, ,0.00,0.00,,4.02
6/17/17,14:16:11,8023.9946289062,W,3712.9240722656,N,667.50,0.00,,4.02
6/17/17,14:17:0,, ,, ,0.00,0.00,,4.02
6/17/17,14:18:0,, ,, ,0.00,0.00,,4.02
6/17/17,14:19:0,, ,, ,0.00,0.00,,4.02
6/17/17,14:20:0,, ,, ,0.00,0.00,,4.02
6/17/17,14:21:9,, ,, ,0.00,0.00,,4.02
6/17/17,14:22:0,, ,, ,0.00,0.00,,4.02
6/17/17,14:23:0,, ,, ,0.00,0.00,,4.02
6/17/17,14:24:0,, ,, ,0.00,0.00,,4.02
6/17/17,14:25:0,, ,, ,0.00,0.00,,4.02
6/17/17,14:26:9,, ,, ,0.00,0.00,,4.02
6/17/17,14:27:0,, ,, ,0.00,0.00,,4.02
6/17/17,14:28:0,, ,, ,0.00,0.00,,4.02
6/17/17,14:29:0,, ,, ,0.00,0.00,,4.02
6/17/17,14:30:0,, ,, ,0.00,0.00,,4.02
6/17/17,14:31:32,8023.9951171875,W,3712.9243164062,N,672.40,0.00,,4.02
6/17/17,14:32:0,, ,, ,0.00,0.00,,4.02
6/17/17,14:33:0,, ,, ,0.00,0.00,,4.02
6/17/17,14:34:0,, ,, ,0.00,0.00,,4.02
6/17/17,14:35:0,, ,, ,0.00,0.00,,4.02
6/17/17,14:36:9,, ,, ,0.00,0.00,,4.02
6/17/17,14:37:0,, ,, ,0.00,0.00,,4.02
6/17/17,14:38:0,, ,, ,0.00,0.90,,4.02
6/17/17,14:39:0,, ,, ,0.00,0.84,,4.02
6/17/17,14:40:0,, ,, ,0.00,1.50,,4.02
6/17/17,14:41:9,, ,, ,0.00,0.00,,4.02
6/17/17,14:42:0,, ,, ,0.00,0.29,,4.02
6/17/17,14:43:0,, ,, ,0.00,0.55,,4.01
6/17/17,14:44:0,, ,, ,0.00,0.40,,4.02
6/17/17,14:45:0,, ,, ,0.00,0.78,,4.02
6/17/17,14:46:11,8023.9951171875,W,3712.9243164062,N,672.40,0.00,,4.02
6/17/17,14:47:0,, ,, ,0.00,0.00,,4.02
6/17/17,14:48:0,, ,, ,0.00,0.00,,4.02
6/17/17,14:49:0,, ,, ,0.00,0.00,,4.02
6/17/17,14:50:0,, ,, ,0.00,0.14,,4.02
6/17/17,14:51:9,, ,, ,0.00,0.00,,4.02
6/17/17,14:52:0,, ,, ,0.00,0.26,,4.02
6/17/17,14:53:0,, ,, ,0.00,0.35,,4.02
6/17/17,14:54:0,, ,, ,0.00,0.00,,4.02
6/17/17,14:55:0,, ,, ,0.00,0.38,,4.02
6/17/17,14:56:9,, ,, ,0.00,1.16,,4.02
6/17/17,14:57:0,, ,, ,0.00,0.85,,4.02
6/17/17,14:58:0,, ,, ,0.00,0.15,,4.02
6/17/17,14:59:0,, ,, ,0.00,0.56,,4.02
6/17/17,15:0:45,, ,, ,0.00,0.00,,4.02
6/17/17,15:1:33,8024.0668945312,W,3712.9895019531,N,635.30,0.00,,4.01
6/17/17,15:2:0,, ,, ,0.00,0.00,,4.01
6/17/17,15:3:0,, ,, ,0.00,0.00,,4.01
6/17/17,15:4:0,, ,, ,0.00,0.00,,4.01
6/17/17,15:5:0,, ,, ,0.00,0.00,,4.02
6/17/17,15:6:9,, ,, ,0.00,0.00,,4.02
6/17/17,15:7:0,, ,, ,0.00,0.00,,4.02
6/17/17,15:8:0,, ,, ,0.00,0.00,,4.02
6/17/17,15:9:0,, ,, ,0.00,0.00,,4.09
6/17/17,15:10:0,, ,, ,0.00,0.00,,4.02
6/17/17,15:11:9,, ,, ,0.00,0.00,,4.02
6/17/17,15:12:0,, ,, ,0.00,0.00,,4.02
6/17/17,15:13:0,, ,, ,0.00,0.00,,4.02
6/17/17,15:14:0,, ,, ,0.00,0.00,,4.02
6/17/17,15:15:0,, ,, ,0.00,0.00,,4.02
6/17/17,15:16:11,8024.0668945312,W,3712.9895019531,N,635.30,0.00,,4.02
6/17/17,15:17:0,, ,, ,0.00,0.00,,4.00
6/17/17,15:18:0,, ,, ,0.00,0.00,,4.01
6/17/17,15:19:0,, ,, ,0.00,0.00,,4.02
6/17/17,15:20:0,, ,, ,0.00,0.00,,4.02
6/17/17,15:21:9,, ,, ,0.00,0.00,,4.04
6/17/17,15:22:0,, ,, ,0.00,0.00,,4.02
6/17/17,15:23:0,, ,, ,0.00,0.00,,4.02
6/17/17,15:24:0,, ,, ,0.00,0.00,,4.03
6/17/17,15:25:0,, ,, ,0.00,0.00,,4.02
6/17/17,15:26:9,, ,, ,0.00,0.00,,4.03
6/17/17,15:27:0,, ,, ,0.00,0.00,,4.02
6/17/17,15:28:0,, ,, ,0.00,0.00,,4.02
6/17/17,15:29:0,, ,, ,0.00,0.00,,4.02
6/17/17,15:30:0,, ,, ,0.00,0.00,,4.02
6/17/17,15:31:33,8024.0175781250,W,3712.9536132812,N,642.20,0.00,,4.02
6/17/17,15:32:0,, ,, ,0.00,0.00,,4.02
6/17/17,15:33:0,, ,, ,0.00,0.00,,4.02
6/17/17,15:34:0,, ,, ,0.00,0.00,,4.03
6/17/17,15:35:0,, ,, ,0.00,0.00,,4.02
6/17/17,15:36:9,, ,, ,0.00,0.00,,4.02
6/17/17,15:37:0,, ,, ,0.00,0.00,,4.02
6/17/17,15:38:0,, ,, ,0.00,0.00,,4.02
6/17/17,15:39:0,, ,, ,0.00,0.00,,4.02
6/17/17,15:40:0,, ,, ,0.00,0.00,,4.02
6/17/17,15:41:9,, ,, ,0.00,0.00,,4.02
6/17/17,15:42:0,, ,, ,0.00,0.00,,4.02
6/17/17,15:43:0,, ,, ,0.00,0.00,,4.02
6/17/17,15:44:0,, ,, ,0.00,0.00,,4.02
